t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
3.696,-86.5943994534815,0.444028922444579,99.2637413819117,0.667121178192651,16.0125182906739,-0.549975983446129,0,0.0734999999992062,0
3.704,-86.3434554273254,-1.69603853294741,92.133405515897,0.506379469901832,15.5901585133297,-0.230104668668595,0,0.0734999999991951,0
3.712,-89.5098300355198,-2.23654416049663,83.477648606027,0.477162594082504,15.4755246622215,0.0086479589168017,0,0.073499999999184,0
3.72,-88.3504202891029,-5.15047087909015,85.814849092396,0.328887063770027,15.453411474603,0.222325478156012,0,0.0734999999991729,0
3.728,-83.3334262357129,-8.38116844281255,81.45735647559,0.0187804016711082,14.6105274727549,0.422037790835414,0,0.0734999999991618,0
3.736,-85.7662784602941,-9.59457862485334,84.8429516626163,0.261414905375385,15.0649854912849,0.657845136229319,0,0.0734999999991507,0
3.744,-96.5713782732211,-7.33756215839877,98.233368012424,0.975518285176764,17.0764284286614,0.563071576136187,0,0.0734999999991396,0
3.752,-104.822548284411,-4.54530555840025,109.07561578468,1.66462123213293,18.6479366854689,0.483179307683295,0,0.0734999999991285,0
3.76,-106.219892182573,0.653590182640556,111.91554533445,2.67155554906617,18.9312304751712,0.304320224614688,0,0.0734999999991174,0
3.768,-94.8467971891619,14.7908319253757,81.1246061081389,3.55160167722391,15.9297163103974,-0.638319515196951,0,0.0734999999991063,0
3.776,-99.1792007087587,12.0313547813456,80.2183157990718,3.33328584245981,16.4313331500086,-0.154870535239556,0,0.0734999999990952,0
3.784,-104.818619728474,14.6473191614013,83.9050013532428,3.86502058612133,17.2722166502002,-0.241161591834079,0,0.0734999999990841,0
3.792,-111.027633736096,14.9131869488011,81.8685741781764,3.90664812450406,17.9127685801253,-0.0513155881500169,0,0.073499999999073,0
3.8,-111.839557037073,12.0233728441804,77.7431344664462,3.61183829094532,17.7613410642951,0.332367272714629,0,0.0734999999990619,0
3.808,-107.337881403699,11.5595156072161,73.1420052276573,3.4410980617879,16.9511763478342,0.350380813461515,0,0.0734999999990508,0
3.816,-106.884438252148,12.5227732866713,72.2351421517994,3.4691669532758,16.8140042806215,0.440369181929245,0,0.0734999999990397,0
3.824,-103.620565840823,10.4157801500412,69.4874098674933,3.22436497999624,16.2233499959835,0.820975480451425,0,0.0734999999990286,0
3.832,-107.872080518358,14.5002347302304,69.9401092808189,3.77325658370463,16.78625927503,0.770464357120364,0,0.0734999999990174,0
3.84,-105.133078484564,8.67513699303331,65.4790314701391,3.03597313954087,16.2039671603908,1.14027112068741,0,0.0734999999990063,0
3.848,-100.162854137663,6.09686437702122,60.9762094006929,2.75459750040023,15.274894537056,1.35106715322638,0,0.0734999999989952,0
3.856,-92.6775023984106,5.55080796121111,57.3514527067345,2.50534165639906,14.1781942283996,1.29718854633372,0,0.0734999999989841,0
3.864,-94.6992745193928,6.49168487460843,51.1863152654354,2.20277981080877,14.1126938175593,1.20624602052057,0,0.073499999998973,0
3.872,-98.8865271875041,9.79071595408111,50.4325472714625,1.98509321080488,14.6238848302733,0.815600931951914,0,0.0734999999989619,0
3.88,-101.392541764162,10.4295047215594,49.1641544765635,1.79889584774442,14.7950370725158,0.702476859346541,0,0.0734999999989508,0
3.888,-96.8565431197502,11.2916693705879,46.4568087841463,1.84265253471096,14.058661394013,0.55456541539022,0,0.0734999999989397,0
3.896,-88.7548788910148,11.1063216630423,42.3719598656335,1.82620672468717,12.8569500376358,0.433832319958528,0,0.0734999999989286,0
3.904,-96.6613438113983,8.79882320477389,45.5421695209223,1.76762808490709,14.0041403727932,0.75637137257071,0,0.0734999999989175,0
3.912,-100.437929224934,7.40906998227929,48.5637816022553,1.67945897497311,14.6016804036301,0.90102602002242,0,0.0734999999989064,0
3.92,-99.6031502940715,3.50948107279113,49.9306248716697,1.16696914879134,14.5710196498544,1.11372158140218,0,0.0734999999988953,0
3.928,-101.731827154762,2.53726490221336,54.1209224065611,1.13320617284404,15.0154577147576,1.1856012786894,0,0.0734999999988842,0
3.936,-106.101172250368,3.6932177871962,57.9583361446861,1.29416419380659,15.7268757823402,1.15262832376685,0,0.0734999999988731,0
3.944,-107.358778887837,3.084766609068,60.2738759830706,1.26351176362159,15.9876712705712,1.36421511439945,0,0.073499999998862,0
3.952,-111.346905323717,3.98996747899583,60.0004049251371,1.28046056360564,16.4907215547598,1.60419549819485,0,0.0734999999988509,0
3.96,-110.977518477281,2.13018758991086,59.6685004605366,1.0843255468787,16.4662126013559,1.80337138957984,0,0.0734999999988398,0
3.968,-107.50609609013,0.843230807281211,58.7404267171004,0.868869720838226,16.0305544316635,1.78715528666474,0,0.0734999999988287,0
3.976,-102.190281882642,-1.80308576780217,56.158473044641,0.38610465496927,15.2686972682269,1.85511264086729,0,0.0734999999988176,0
3.984,-103.314431745986,-1.65509147436262,54.8861875276259,0.214349032592291,15.3480140106656,1.53674856041214,0,0.0734999999988065,0
3.992,-101.607050334727,-5.04942417792697,51.7347509150334,-0.115136590460788,14.9636938425367,1.71202197483055,0,0.0734999999987954,0
4,-101.769908361846,-6.76639599813235,50.9679942448335,-0.395676600551349,14.940287511969,1.60201712340871,0,0.0734999999987843,0
4.008,-99.9074960895259,-5.59491085171653,49.8235622745414,-0.0818616053688366,14.6466623640463,1.73537535845922,0,0.0734999999987732,0
4.016,-104.906879254577,-8.87190908777962,50.3937507577676,-0.275946098330954,15.2542531513821,1.78694994674501,0,0.0734999999987621,0
4.024,-106.487779403396,-11.1410337624366,50.9666042347613,-0.618369433658832,15.4462842604514,1.93064696653977,0,0.073499999998751,0
4.032,-109.588437708659,-8.87288532554664,53.5276763829624,-0.402414951037856,15.8592274581522,1.92012804866773,0,0.0734999999987399,0
4.04,-113.802470833882,-5.95475666986584,55.0825564511462,0.0414266286694016,16.3967398944464,2.10553825783087,0,0.0734999999987288,0
4.048,-122.823077510563,-4.52998913072764,58.234561060162,0.222291147771155,17.698076971798,2.13140723133424,0,0.0734999999987177,0
4.056,-124.700094112135,-1.87275546137541,62.3082505305808,0.116338033235474,18.0601277525699,1.5361523110149,0,0.0734999999987066,0
4.064,-118.818930064294,-0.413727102363024,60.954899174859,-0.162734745954208,17.1978402004602,0.617850900716638,0,0.0734999999986955,0
4.072,-120.736161538027,0.905059522260907,63.5313026640144,-0.165041769475249,17.5551187193906,0.332096140158011,0,0.0734999999986844,0
4.08,-122.188068937737,2.76058756129424,65.7271606673643,-0.112296597045187,17.8210528130751,0.0952663747340299,0,0.0734999999986733,0
4.088,-122.642524750376,1.34698491859349,66.8888748791067,-0.268446852806428,17.9440392701377,0.250259624211141,0,0.0734999999986622,0
4.096,-120.007117148445,0.73682437169109,66.6301338056919,-0.415831496069268,17.5855320683424,0.167437957321074,0,0.0734999999986511,0
4.104,-116.716029261539,1.63072370875973,63.5100180305936,-0.356815420582254,17.0212870683411,-0.181188276202561,0,0.07349999999864,0
4.112,-111.333544964462,-0.93294829545456,63.0644609722281,-0.737302615650418,16.3057815296294,0.0151921279026471,0,0.0734999999986289,0
4.12,-106.329257038408,-0.289993190038984,59.9139037274853,-0.710502010581472,15.5190357899179,-0.354886363832699,0,0.0734999999986178,0
4.128,-99.8544397285651,-0.68315164452186,53.2098332522722,-0.713145057586961,14.4046510837336,-0.427117710614905,0,0.0734999999986067,0
4.136,-95.9024933199464,-3.44742349425754,49.0061732856914,-0.842935620415334,13.7235556474889,-0.123608797531821,0,0.0734999999985956,0
4.144,-93.1902062691522,-6.94129579622464,48.9170751682184,-1.21690098567894,13.3659422104503,0.101377925276304,0,0.0734999999985845,0
4.152,-101.828722121463,-12.1381938117451,53.665095210466,-1.62701038903443,14.6239242302217,0.622016981498214,0,0.0734999999985734,0
4.16,-107.610826146309,-17.8024425414563,59.0379795785705,-2.22901757654784,15.517437075971,0.994821518364907,0,0.0734999999985623,0
4.168,-113.325988346617,-19.8020600108141,62.7865589917037,-2.29583967445902,16.3788467803438,1.15742432869726,0,0.0734999999985512,0
4.176,-118.926388202164,-22.896689542328,65.4320473369297,-2.50071757496474,17.1661035136753,1.41852662545438,0,0.0734999999985401,0
4.184,-118.990311136747,-27.8635029337857,66.0096289202666,-2.95447177591209,17.1591745572423,1.62940273694331,0,0.073499999998529,0
4.192,-119.387637957328,-27.7859662420311,65.7695979541727,-2.91180245518865,17.1422449618432,1.58142498944214,0,0.0734999999985178,0
4.2,-123.994102176799,-30.9163907335753,67.4227199533084,-3.26558204902588,17.67988736574,1.53970795250395,0,0.0734999999985067,0
4.208,-124.02036037365,-31.3134827885674,66.0523513079292,-3.34036811144016,17.5624479097224,1.65771020653856,0,0.0734999999984956,0
4.216,-111.815649891958,-33.476898507172,51.506193486356,-3.37286128855059,15.4381846065209,2.02741677465068,0,0.0734999999984845,0
4.224,-106.685323028243,-34.6882948714901,48.6402271328768,-3.60820797601867,14.7249695510939,1.88430108563041,0,0.0734999999984734,0
4.232,-99.5567842957861,-31.5462403119018,45.1008066687737,-3.58732090741406,13.6779821745855,1.197107088431,0,0.0734999999984623,0
4.24,-92.7779692216432,-24.2958515518894,38.5387282475284,-3.18816771840648,12.549575634916,0.266896607694083,0,0.0734999999984512,0
4.248,-91.1352452522567,-18.0995333121654,35.0939172917392,-2.72008098082323,12.2097401083979,-0.00146168608077407,0,0.0734999999984401,0
4.256,-92.779448366789,-20.1851270937012,37.3508080950767,-2.82099675910051,12.4886258163741,0.213770389058077,0,0.073499999998429,0
4.264,-92.1080999086008,-18.5783051025384,36.6984411460718,-2.52823742871088,12.377769326817,0.223446852632603,0,0.0734999999984179,0
4.272,-100.37813715155,-17.1770273560036,40.5521140381812,-2.11422132789984,13.493741909392,0.465134440061545,0,0.0734999999984068,0
4.28,-103.004691954749,-18.3146050405935,40.4326184571038,-2.16151833597883,13.8353125628047,0.833154099092749,0,0.0734999999983957,0
4.288,-108.554319833936,-18.1631383658499,42.2743844632976,-2.16083114640438,14.6397426285647,0.918439575526519,0,0.0734999999983846,0
4.296,-106.837518957903,-19.1778783140297,41.5053470767405,-2.25547206105031,14.4366764789268,1.04221329926296,0,0.0734999999983735,0
4.304,-102.700856842921,-17.9169609498702,38.8383950523896,-2.27310701524019,13.8461448746077,0.892119341444071,0,0.0734999999983624,0
4.312,-96.4918264205114,-17.0771144965783,36.7336955953822,-2.10759351452822,12.9237980187932,0.659431117160949,0,0.0734999999983513,0
4.32,-99.1766264556308,-11.567814715767,36.8175802340002,-1.25656934734339,13.1885437668451,0.364108743703428,0,0.0734999999983402,0
4.328,-101.664631662915,-14.6057480454527,39.1135571324619,-1.64234419344304,13.5374163003772,0.257458367660732,0,0.0734999999983291,0
4.336,-101.946656121244,-16.9438861593281,39.0929303160788,-1.87738983096487,13.6226488233531,0.186010082118893,0,0.073499999998318,0
4.344,-102.00755233649,-15.7078036762242,40.7875378568365,-1.76829881069302,13.6618330728402,0.0626751834577547,0,0.0734999999983069,0
4.352,-104.175888436662,-15.7971391302376,43.5353696595649,-1.70669847893753,13.9774485553071,-0.0453558691721123,0,0.0734999999982958,0
4.36,-104.160326574503,-14.0737402391659,44.5944715316753,-1.5059974822585,13.9830273761616,-0.241876301150232,0,0.0734999999982847,0
4.368,-101.185082155844,-12.1300881877276,42.6381464414811,-1.30578635450999,13.5419496402609,-0.393709519355005,0,0.0734999999982736,0
4.376,-99.4748663130638,-12.5460737428754,39.6326781479972,-1.38530332737317,13.2185597355034,-0.374155972301222,0,0.0734999999982625,0
4.384,-98.8348059178347,-13.6389030528413,38.1727607348025,-1.66923646196535,13.0773768252851,-0.375689087450466,0,0.0734999999982514,0
4.392,-100.64965557037,-13.0303621805278,37.6555744383733,-1.52296937310721,13.3265030011619,-0.637317569741773,0,0.0734999999982403,0
4.4,-97.3360413102738,-14.3295937586486,37.0811684585741,-1.80119623963211,12.9049382763537,-0.67546441299116,0,0.0734999999982292,0
4.408,-96.292732508161,-17.9269706735668,36.4256486641313,-2.27419915952647,12.7139668603501,-0.503522946654771,0,0.0734999999982181,0
4.416,-95.3039736240162,-19.2827877468261,36.1250328785578,-2.47573133557772,12.6050998748844,-0.605778998024324,0,0.073499999998207,0
4.424,-94.4258519212175,-17.2757863620067,37.3057641493502,-2.32583677520626,12.5412098884431,-0.722058237596118,0,0.0734999999981959,0
4.432,-95.7324445508646,-18.0392509516588,36.3460009806327,-2.42432709586826,12.6805119024525,-0.714885719758432,0,0.0734999999981848,0
4.44,-100.472899812578,-17.5287832148259,38.1206432979762,-2.42906597981928,13.3580869836313,-0.831701121861676,0,0.0734999999981737,0
4.448,-113.856522217359,-16.0427914921239,39.5692886945637,-2.27011426519351,15.11235094425,-0.542780850583378,0,0.0734999999981626,0
4.456,-102.22212877979,-13.8462329853743,37.2745136757229,-2.05847622461702,13.5897907373732,-1.13335088927332,0,0.0734999999981515,0
4.464,-100.746340821891,-11.7273087144307,35.4993165814823,-1.8995897665836,13.3485031336358,-1.41802545508906,0,0.0734999999981404,0
4.472,-97.8125151183769,-7.79083714122824,34.3510588164086,-1.6309619733702,12.9331745311335,-1.82306940834798,0,0.0734999999981293,0
4.48,-96.7170226755117,-5.14922508667209,34.953559784988,-1.47707901498972,12.7768877936943,-2.11331091651725,0,0.0734999999981182,0
4.488,-101.800190093951,-0.314395281972011,39.748383599098,-0.873997750208685,13.5158722405485,-2.31735185488365,0,0.0734999999981071,0
4.496,-101.625059837253,3.27191799808429,41.9555000496249,-0.401680128130615,13.5228524606188,-2.43039506423417,0,0.073499999998096,0
4.504,-101.119872050076,3.17340901089089,44.7919310895316,-0.313296686619511,13.5040695504218,-2.3538614789673,0,0.0734999999980849,0
4.512,-99.5784647855608,1.90177770332235,44.9552297467064,-0.417066830630537,13.2766002831779,-2.3249368065514,0,0.0734999999980738,0
4.52,-101.671747181555,2.13363638622147,45.4869527440036,-0.386358453118808,13.5244222691839,-2.23192629200485,0,0.0734999999980627,0
4.528,-103.672274020368,4.89846100055319,43.8838855163201,0.00117232467673476,13.7784086924687,-1.97094105702063,0,0.0734999999980516,0
4.536,-102.617830632724,5.22801386157465,39.1593116233091,0.143627125444843,13.6208640929357,-1.75526419266635,0,0.0734999999980405,0
4.544,-96.4937380834163,8.25663696539999,34.734624510373,0.590394708771499,12.7903128121882,-1.73520176876276,0,0.0734999999980294,0
4.552,-92.4650128069329,10.6695919174419,33.8472370633286,0.880018355777751,12.2233654336776,-1.6028903365461,0,0.0734999999980182,0
4.56,-83.4887127835116,10.9177456001922,29.3126074698122,0.980263664163392,11.0108605600916,-1.6126738132941,0,0.0734999999980071,0
4.568,-69.7214624152526,10.2744981762206,21.4052389952811,0.883073528463246,9.07821859189262,-1.69739143944213,0,0.073499999997996,0
4.576,-59.6385237406562,11.4157582521951,15.6978460590741,0.739820301526725,7.66086177785342,-2.1524094601156,0,0.0734999999979849,0
4.584,-61.3674994769866,12.0565801249576,16.07088196067,0.674259722073313,7.86938518945413,-2.38205493352749,0,0.0734999999979738,0
4.592,-62.3885692650125,10.8189968471746,15.3801553450102,0.498521291794918,7.99497843046108,-2.32652048620923,0,0.0734999999979627,0
4.6,-67.0124734664471,9.45210780636757,16.0871299842624,0.296144474755626,8.6135792543514,-2.23370687641074,0,0.0734999999979516,0
4.608,-73.7200929819971,10.4135796125048,15.3357065356732,0.384649339977535,9.38537159376398,-2.18036280865863,0,0.0734999999979405,0
4.616,-75.3284889124286,10.0540173325489,12.7112436793932,0.389536245134743,9.5643512808886,-2.12427613659584,0,0.0734999999979294,0
4.624,-61.9533940469055,10.3760592648353,9.06764342585354,0.532119824567703,7.90890822027727,-1.75029893344367,0,0.0734999999979183,0
4.632,-65.6461986047406,10.4537336266792,8.36491709362758,0.624866693406914,8.29949086192132,-1.62601484903445,0,0.0734999999979072,0
4.64,-71.5871185778874,9.04733836336031,7.10789801379251,0.689502360750496,9.01636399625747,-1.31924749045302,0,0.0734999999978961,0
4.648,-75.207557939937,10.6553476385585,9.73080565554918,0.812479696936754,9.48256867926055,-1.04512575970881,0,0.073499999997885,0
4.656,-78.2045632323104,10.0040374129158,11.8059847577956,0.782671617393685,9.88329123867402,-0.891029850908954,0,0.0734999999978739,0
4.664,-81.2275920478932,7.47537573055052,13.5588512311954,0.462435192961322,10.3271914460312,-0.821257401796173,0,0.0734999999978628,0
4.672,-81.9995707500531,6.11355554042401,13.9473685876191,0.31856982494161,10.4334066234221,-0.71344173447232,0,0.0734999999978517,0
4.68,-82.0238374750747,7.43589238026968,12.1787988801941,0.443974421873123,10.4566447820923,-0.819193871521275,0,0.0734999999978406,0
4.688,-78.6560124822153,6.86509883295365,10.0618567322999,0.420186808161542,10.0627447843911,-0.741053405803447,0,0.0734999999978295,0
4.696,-83.6458784551021,7.82971314169582,6.22303935118654,0.84154283760559,10.6203744495105,-0.64862854968798,0,0.073499999997824,0
4.704,-85.0895956940863,8.89553289336289,3.96466123349951,1.09021489620581,10.8007783874386,-0.748173923959208,0,0.073499999997824,0
4.712,-77.4687586151296,7.28000224690439,1.40602986860873,0.942957969567806,9.80693436986813,-0.475279566464085,0,0.073499999997824,0
4.72,-68.5803840857877,5.78095707361357,-3.99346697989492,0.994676088313319,8.58454607661598,-0.309836692251136,0,0.073499999997824,0
4.728,-66.7553721942038,4.47054807831747,-6.52567956182853,0.866266182962394,8.36267485016211,-0.385885944685364,0,0.073499999997824,0
4.736,-69.2014534681189,-1.01929396779565,-13.6272986862296,0.332595418295303,8.28160622740627,-0.325749528979201,0,0.073499999997824,0
4.744,-67.6002425499972,0.500174362678978,-4.56526508065086,0.162131928968939,8.49824919224155,0.213439767895818,0,0.073499999997824,0
4.752,-73.7696190863129,2.50142540221085,-6.89332159885355,0.442612418915252,9.24088438800245,-0.122444181742876,0,0.073499999997824,0
