t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
6.16,-47.0551620049445,-2.41665062652439,21.7299344905816,0.109554699383644,5.79413240027463,-0.740652479926418,0.152551669714328,0.0735000000000111,-0.0501495219832957
6.168,-42.6794195284117,-0.217868948494789,18.9032099401922,0.221143190751361,5.26500423806912,-0.722190756163949,0.152551678267453,0.0735000000000111,-0.0501495195086243
6.176,-40.1690339045942,-1.059883532098,15.991722235967,0.0808027323555736,4.94233476779993,-0.711511512804914,0.152551686813537,0.0735000000000111,-0.0501495170097451
6.184,-25.4606204058653,-1.76841517053837,8.20114165362216,0.106095977486094,3.02877779907415,-0.320932146136462,0.152551695352511,0.0735000000000111,-0.050149514486678
6.192,-32.2493864828162,-1.31531942322312,7.36617861693756,0.174316836778012,3.89925660953227,-0.471589171327364,0.152551703884307,0.0735000000000111,-0.0501495119394434
6.2,-34.2056935739383,-3.56312051761591,6.94112412972693,-0.00627758452540467,4.17105863563389,0.102606103626235,0.152551712408857,0.0735000000000111,-0.0501495093680615
6.208,-38.5330927491282,-5.46906583212936,8.66211105665775,-0.0352864394419485,4.72973852851678,0.266986224319831,0.152551720926092,0.0735000000000111,-0.050149506772553
6.216,-43.0606217803616,-5.66094346538847,11.0584082008805,-0.0324721261669876,5.30028099674188,0.370643882415247,0.152551729435943,0.0735000000000111,-0.0501495041529388
6.224,-51.4965280137594,-3.29525327718989,12.7273725427089,0.245719625709044,6.35518655810476,0.0360064829129094,0.152551737938343,0.0735000000000111,-0.0501495015092398
6.232,-56.7764247120159,-1.55522773436358,13.2355039619546,0.447468030474228,7.03027911809285,-0.00651556690167743,0.152551746433223,0.0735000000000111,-0.0501494988414773
6.24,-63.3642954500962,-0.798987986926162,14.6299711032682,0.503396346259491,7.89193183840799,-0.0897519445006122,0.152551754920516,0.0735000000000111,-0.0501494961496726
6.248,-67.4546166596194,0.353635707942193,15.7789366397529,0.618116669934339,8.36725088832677,-0.217747807869608,0.152551763400152,0.0735000000000111,-0.0501494934338472
6.256,-69.9034759745973,0.948454877898622,16.4818924826615,0.584321962697629,8.66731451416599,-0.239888380751827,0.152551771872066,0.0735000000000111,-0.0501494906940231
6.264,-72.5511376637554,2.8552521607014,16.8286425432964,0.691744592075706,8.99267563687792,-0.44795164063401,0.152551780336187,0.0735000000000111,-0.0501494879302221
6.272,-78.3273722038583,2.69990210101571,16.6187084954388,0.556998722657736,9.71900998520472,-0.611998027471838,0.152551788792449,0.0735000000000111,-0.0501494851424663
6.28,-83.2227477608229,3.88764961808882,20.9782623856021,0.692231723568754,10.3489052693424,-0.899504157047549,0.152551797240784,0.0735000000000111,-0.0501494823307782
6.288,-88.1301382507452,4.19338998094024,23.3835771160197,0.757735896246829,10.9608199094165,-0.966985466361241,0.152551805681123,0.0735000000000111,-0.0501494794951804
6.296,-91.6713767704306,4.1689187191116,24.7265941317137,0.705560970461839,11.4083018608878,-1.08008318038168,0.1525518141134,0.0735000000000111,-0.0501494766356953
6.304,-85.7252005749036,3.8657781689749,26.3947531069643,0.627966068968001,10.6723954661155,-0.74349642888469,0.152551822537547,0.0735000000000111,-0.0501494737523462
6.312,-90.3310838385443,5.6952191690229,24.208900594609,0.781213080308725,11.2342909742657,-1.26046000199761,0.152551830953496,0.0735000000000111,-0.050149470845156
6.32,-85.8604962688049,5.94837502810685,23.122461114206,0.763730232848733,10.6482885266943,-1.37795622102459,0.152551839361179,0.0735000000000111,-0.0501494679141481
6.328,-80.0435480816305,6.59117665513472,20.1655466251645,0.885409153783442,9.86070499524648,-1.27273248836861,0.15255184776053,0.0735000000000111,-0.050149464959346
6.336,-69.3382450697571,4.66636948249222,17.8674499700837,0.708346337347604,8.50243185735912,-1.08382355155147,0.152551856151481,0.0735000000000111,-0.0501494619807733
6.344,-57.3733382562132,3.45529037275854,13.2438605552978,0.705166696435589,6.95192765447153,-0.720110124354077,0.152551864533964,0.0735000000000111,-0.050149458978454
6.352,-48.5183246992197,2.04444128077694,11.3120378692672,0.53710241008801,5.79549801329625,-0.383104321386892,0.152551872907913,0.0735000000000111,-0.0501494559524121
6.36,-40.3887260172062,1.28128818695619,9.13977144721172,0.471848622391436,4.77880599052673,-0.109527147400783,0.15255188127326,0.0735000000000111,-0.0501494529026717
6.368,-40.3379226311686,1.840571314577,8.94948813390945,0.499217769541689,4.72903046152546,-0.261360872872645,0.152551889629939,0.0735000000000111,-0.0501494498292576
6.376,-39.9898122126024,1.57138756722757,6.56627610579814,0.405021289137639,4.7228909612254,-0.345470922193565,0.152551897977881,0.0735000000000111,-0.0501494467321942
6.384,-42.7437477541676,1.82544480204566,8.31816289179051,0.399554349267493,5.01740240441037,-0.605841391121833,0.152551906317021,0.0735000000000111,-0.0501494436115064
6.392,-43.3774026901031,-0.681942579194898,8.59450903834323,0.0486168837367403,5.1810965420072,-0.508962899627986,0.152551914647292,0.0735000000000111,-0.0501494404672192
6.4,-41.3391687015676,-2.43147559336619,7.37237598182665,-0.09184641798976,5.01172964694188,0.211356110149414,0.152551922968626,0.0735000000000111,-0.0501494372993578
6.408,-44.4271991904977,-3.77300927163736,8.34944576820376,-0.109386782593229,5.46669229545493,0.376785201378793,0.152551931280958,0.0735000000000111,-0.0501494341079476
6.416,-48.9281717297445,-3.44959374748979,8.20466510498144,-0.0567203261849503,6.11522617808327,0.408148190549652,0.152551939584219,0.0735000000000111,-0.0501494308930142
6.424,-50.9397755186381,-0.996302192265057,7.52427251117194,0.058575783405697,6.43145818938751,0.331592660976379,0.152551947878344,0.0735000000000111,-0.0501494276545833
6.432,-51.7094119943473,1.81237266534192,6.25702082596078,0.467527524591533,6.51698941619253,0.495783277011375,0.152551956163267,0.0735000000000111,-0.0501494243926811
6.44,-46.0961562518611,-2.4853628555495,4.35567149942263,0.0899034639291411,5.74984974833222,0.90844434360067,0.15255196443892,0.0735000000000111,-0.0501494211073334
6.448,-51.0792670447702,-5.69652220594101,4.39575110124197,-0.328710083798348,6.37032284133321,0.871200896647061,0.152551972705238,0.0735000000000111,-0.0501494177985669
6.456,-59.444791914132,-6.01657436059993,6.61972962741855,-0.372982055974483,7.42022853345157,0.922355702397634,0.152551980962154,0.0735000000000111,-0.0501494144664079
6.464,-57.5737916166209,-8.19276034328579,0.764609298247566,-0.717901948128803,7.32676152305299,1.07426773598635,0.152551989209603,0.0735000000000111,-0.0501494111108831
6.472,-55.1441681308021,-9.76134156156483,-1.93408615180808,-1.06761761364586,7.05058264844115,1.0823567336959,0.152551997447517,0.0735000000000111,-0.0501494077320195
6.48,-59.3473490282343,-10.5874727347404,-1.82997327245635,-1.25065573224922,7.62164456852725,0.926253901729514,0.152552005675831,0.0735000000000111,-0.0501494043298442
6.488,-62.9758484359055,-10.8345500259093,-0.937598220221988,-1.41125234201425,8.05466562264785,0.803488173962345,0.152552013894479,0.0735000000000111,-0.0501494009043844
6.496,-70.9670313363069,-10.2649611093137,0.025232153019219,-1.46408618490587,9.10191710501149,0.65872627432154,0.152552022103395,0.0735000000000111,-0.0501493974556676
6.504,-74.3866107022345,-9.64776650481516,0.154553122157727,-1.5048338485742,9.56889601012553,0.605844365594753,0.152552030302513,0.0735000000000111,-0.0501493939837214
6.512,-73.9798185020628,-6.485039988248,0.417849203320872,-1.28584864986808,9.51138866428519,0.422274851099501,0.152552038491768,0.0735000000000111,-0.0501493904885738
6.52,-70.103023711509,-1.836917616747,2.13186518015809,-0.734587445882579,8.99188935224504,0.0182744917369194,0.152552046671093,0.0735000000000111,-0.0501493869702526
6.528,-63.3641146289018,-1.4762259830035,2.88446316093998,-0.652279831246588,8.05533800041607,-0.138292096442853,0.152552054840424,0.0735000000000111,-0.0501493834287861
6.536,-65.5983588737928,-2.84023902529521,1.23665127505385,-0.671068166165768,8.38208476985312,-0.143409611823043,0.152552062999694,0.0735000000000111,-0.0501493798642027
6.544,-66.2687214624244,-1.68301688685527,4.22754150509217,-0.394028853756434,8.4085602946136,-0.290010755860801,0.152552071148839,0.0735000000000111,-0.050149376276531
6.552,-66.492128085418,-2.11626658055079,3.18390984271567,-0.402187590350271,8.48236938056976,-0.293522716759161,0.152552079287793,0.0735000000000111,-0.0501493726657997
6.56,-62.5780883213565,-2.33204748659525,3.97036029440997,-0.427675960344112,7.95089340143851,0.12782845299049,0.15255208741649,0.0735000000000111,-0.0501493690320378
6.568,-56.5900611149315,-5.00206562722042,3.35126841931459,-0.638391335197839,7.20274034335512,0.444062086398202,0.152552095534866,0.0735000000000111,-0.0501493653752745
6.576,-56.0111553578737,-7.79854364335965,2.87748548300505,-0.815317658708895,7.10493829878097,0.40369985032292,0.152552103642856,0.0735000000000111,-0.0501493616955389
6.584,-58.29482253027,-8.57130092091703,3.89074541896866,-0.887444639006488,7.35381163491515,0.505822693784596,0.152552111740394,0.0735000000000111,-0.0501493579928608
6.592,-62.1062019998808,-6.23890429196561,5.67980897855525,-0.648766258865574,7.80527364436375,0.528498161863292,0.152552119827416,0.0735000000000111,-0.0501493542672696
6.6,-62.2125039196202,-4.30808953536441,7.69614256136486,-0.340990375487665,7.76117345662766,0.479674592127365,0.152552127903856,0.0735000000000111,-0.0501493505187953
6.608,-62.6940685406192,-2.36085527867434,7.11457710543599,-0.102999251756763,7.81737040165125,0.369723183836314,0.15255213596965,0.0735000000000111,-0.050149346747468
6.616,-61.7028629105373,-2.43041031983732,7.57269793042596,-0.0813010242831439,7.69010418756071,0.364405843108656,0.152552144024734,0.0735000000000111,-0.0501493429533179
6.624,-58.5622190972337,0.297507666301856,5.96123724153942,0.352546480615629,7.27891980863204,0.331720854139424,0.152552152069042,0.0735000000000111,-0.0501493391363753
6.632,-59.0039008989581,1.17859706298566,7.94023964414813,0.480235395704016,7.26123159394397,0.301676387134697,0.152552160102511,0.0735000000000111,-0.050149335296671
6.64,-58.5274610587977,1.79666655619721,8.87410336364895,0.592430263569509,7.18429304580836,0.285756037359027,0.152552168125076,0.0735000000000111,-0.0501493314342356
6.648,-59.7664130283013,2.89377050988743,9.40155809106526,0.777821971291974,7.33493830906875,0.341003920391601,0.152552176136672,0.0735000000000111,-0.0501493275491002
6.656,-62.6166923736408,3.01010447680579,9.69116808891587,0.8174940366386,7.67658360325921,0.227216897684277,0.152552184137235,0.0735000000000111,-0.0501493236412959
6.664,-62.4674569935119,1.81713986650625,9.73245078454153,0.721324178061432,7.58733028024233,0.194966705040771,0.152552192126702,0.0735000000000111,-0.050149319710854
6.672,-60.7456310724986,0.61562337676623,9.68743037263316,0.689421060834604,7.38390190769165,0.263197901692116,0.152552200105007,0.0735000000000111,-0.050149315757806
6.68,-56.7488787645058,0.162286726920186,9.61583873871817,0.697713557253702,6.86357237966696,0.221400831135634,0.152552208072088,0.0735000000000111,-0.0501493117821837
6.688,-54.4918583361302,-0.683302227950923,9.4480978772602,0.648977415766089,6.56067821702483,0.319147792365321,0.15255221602788,0.0735000000000111,-0.0501493077840189
6.696,-53.1303811860002,0.293959367740603,10.2973504026204,0.787958983360408,6.33893076523073,0.352307920015105,0.15255222397232,0.0735000000000111,-0.0501493037633436
6.704,-50.7850502044823,0.464751559982745,10.1160647962428,0.802979143383438,6.04003438218417,0.237447550461967,0.152552231905343,0.0735000000000111,-0.0501492997201901
6.712,-49.0132977575663,-0.187361737342515,11.3810520174471,0.729381648766395,5.77455885312377,0.488712236741456,0.152552239826886,0.0735000000000111,-0.0501492956545909
6.72,-44.9823777246211,-0.517729228593417,11.462113968294,0.891038804589952,5.1771215878215,0.350982141542663,0.152552247736886,0.0735000000000111,-0.0501492915665784
